run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,0,6,0.02010926511183578
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,1,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,2,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,3,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,4,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,5,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,6,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,7,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,8,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,9,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,10,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,11,2,0.38385842725186814
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,2,0.5421676464698977
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,13,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,14,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,15,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,16,2,0.38967730033406944
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,17,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,18,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,19,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,20,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,21,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,22,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,23,2,0.9892460676875634
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,24,3,0.08042189094560721
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,25,2,0.03805701924311844
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,26,3,0.042543590089489346
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,27,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,28,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,29,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,30,2,0.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,31,3,0.15121055716696055
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,32,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,33,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,34,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,35,2,0.0
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,36,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,37,2,0.7899862053173421
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,38,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,39,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,40,3,0.12117370623283182
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,41,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,42,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,43,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,44,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,45,1,
