gene,full_space_axis_1,full_space_axis_2,cluster_id
SRSF2,-1.1390372860544478,-3.802050341244021,41
RARA,-2.2410295901692923,6.637709496818074,13
SMC3,-3.338218135108272,-0.7163928496947264,23
DEK,-2.6184456937472467,1.2949702626437225,86
TET2,-1.3712938103463603,-0.9413091114857403,91
PML,-0.8387025424610516,12.654234172424848,5
TP53,-1.1779924668444142,1.5852101001851353,67
SMC1A,-3.170533917755741,0.4417064157117865,17
FLT3,13.122717629376188,0.22146310421650783,37
RUNX1,-2.6873072260411615,8.126925434578455,14
IDH1,-1.4562129078729387,-2.613239095437339,44
SF3B1,-1.8539874448317826,-3.0137062587666597,110
WT1,-1.003223506375844,-3.446990295710221,31
NRAS,10.468474640859467,-1.0379036454822173,42
KMT2A,-3.3297676158385325,5.901377737346931,11
BCL2,-0.13620137490606635,0.515730708481809,62
IDH2,-1.0276788275769002,-3.6045298242877633,0
EZH2,-2.4744510777984425,0.1435843450525731,18
ZRSR2,-1.1002068484888843,-4.0765371474173895,26
RAD21,-2.869856103643002,-2.4302866778744336,70
KRAS,11.088536903024181,0.04384632535260368,54
DNMT3A,-2.779743757377914,4.469713927038964,15
ASXL1,-1.6151408782343628,0.6825378673532335,79
U2AF1,-1.072954732669222,-3.1513178548777145,40
GATA2,-1.0915388548616536,-2.7571588892158716,25
CEBPA,-3.5502499330683785,9.414016514801343,3
NUP214,-1.9291000502356617,-2.3716223269556798,102
KIT,14.630845679611308,0.800149721257534,66
PTPN11,13.896712528843022,0.6883354233664797,63
STAG2,-2.3182761828072884,-3.0613388361241833,93
MECOM,-3.1997122773018156,2.361921143276879,9
NPM1,-1.0272553736198766,-2.580082136786815,65
WAPL,-2.5794147110623493,-2.831062224973776,98
SMC1B,-3.162318335435972,-1.5072686055472173,87
CDCA5,-2.2311359867996665,-3.304778000945375,107
SGO1,-0.3939481500963514,-0.623532909106425,92
REC8,-2.0896316009122726,-0.15023590794970193,96
MXD4,-1.7719059789173335,-2.977649951584153,103
STAG3,-3.3392092630531103,-0.7167473717030451,23
NIPBL,-3.1677570612247425,-2.240539192058152,72
